,0,1,2,3
null,0.7472225852829696,0.7636577925679423,0.6274876068683095,0.785236502627807
open_door_1,0.47992351816443596,0.5511551155115512,0.28798185941043086,0.5012853470437018
open_door_2,0.49878345498783455,0.5172413793103449,0.18618042226487524,0.5163398692810458
close_door_1,0.4704761904761905,0.5390070921985816,0.22530864197530864,0.4584527220630373
close_door_2,0.4761061946902655,0.5191387559808612,0.16886543535620052,0.5073313782991202
open_fridge,0.22932745314222713,0.20354609929078013,0.17087238644556596,0.28125
close_fridge,0.2062111801242236,0.18262268704746581,0.13764813126709208,0.21301775147928995
open_dishwasher,0.4910394265232975,0.29411764705882354,0.17782026768642448,0.1476923076923077
close_dishwasher,0.41641337386018235,0.23361344537815126,0.09385474860335195,0.24281984334203655
open_drawer_1,0.2727272727272727,0.3255208333333333,0.10677618069815195,0.2974137931034483
close_drawer_1,0.3103448275862069,0.13986013986013987,0.1461864406779661,0.2459016393442623
open_drawer_2,0.29642857142857143,0.2524752475247525,0.08298755186721991,0.21714285714285714
close_drawer_2,0.28695652173913044,0.2863849765258216,0.17914438502673796,0.3435897435897436
open_drawer_3,0.41423948220064727,0.44680851063829785,0.14189189189189189,0.3895131086142322
close_drawer_3,0.40599455040871935,0.4223826714801444,0.06465517241379311,0.27191011235955054
clean_table,0.4535637149028078,0.4667931688804554,0.36194563662374823,0.5804597701149425
drink_from_cup,0.3947521865889213,0.6082121471343028,0.4584487534626039,0.5726872246696035
toggle_switch,0.3148479427549195,0.3664302600472813,0.049019607843137254,0.33236994219653176
