,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
null,0.3379416282642089,0.4113345521023766,0.452914798206278,0.35496957403651114,0.3981264637002342,0.27957860615883307,0.43416370106761565,0.3996101364522417,0.3567921440261866,0.37720488466757124,0.5012224938875306,0.4110576923076923,0.43415637860082307,0.39096267190569745,0.37272727272727274,0.39285714285714285,0.40238450074515647,0.38619676945668135,0.4152542372881356,0.3403041825095057,0.14235500878734622,0.38095238095238093,0.3955479452054795,0.45663716814159294,0.45314900153609833,0.4324786324786325,0.4878587196467991,0.44487179487179485,0.45510204081632655,0.43597122302158275
walking,0.7372093023255814,0.37362637362637363,0.5049833887043189,0.5502645502645502,0.559375,0.6237623762376238,0.5337837837837838,0.39937106918238996,0.46774193548387094,0.4123006833712984,0.6622073578595318,0.535593220338983,0.5967741935483871,0.0,0.5285714285714286,0.6044776119402985,0.49382716049382713,0.4323308270676692,0.45149253731343286,0.5846774193548387,0.09223300970873786,0.5612648221343873,0.4261501210653753,0.6109422492401215,0.5384615384615384,0.5527065527065527,0.6456140350877193,0.5547703180212014,0.32558139534883723,0.5688775510204082
walking_upstairs,0.7210144927536232,0.4717948717948718,0.6647058823529411,0.7383177570093458,0.49514563106796117,0.38596491228070173,0.8356164383561644,0.6622807017543859,0.4482758620689655,0.3317307692307692,0.7967479674796748,0.7837837837837838,0.7454545454545455,0.32441471571906355,0.6227106227106227,0.6932270916334662,0.5865724381625441,0.43923240938166314,0.6588785046728972,0.6445182724252492,0.36105476673427994,0.786096256684492,0.8379629629629629,0.8888888888888888,0.7158273381294964,0.8651162790697674,0.6716981132075471,0.7297297297297297,0.6116504854368932,0.7865612648221344
walking_downstairs,0.8434343434343434,0.7444444444444445,0.7238095238095238,0.784688995215311,0.6263736263736264,0.6041666666666666,0.74235807860262,0.43523316062176165,0.8615384615384616,0.7551020408163265,0.9438202247191011,0.7522522522522522,0.7365591397849462,0.6988636363636364,0.8429319371727748,0.9021739130434783,0.8723404255319149,0.2926829268292683,0.6491228070175439,0.8440860215053764,0.8603351955307262,0.7619047619047619,0.49583333333333335,0.9170506912442397,0.5981308411214953,0.8773584905660378,0.8602150537634409,0.7924528301886793,0.5028409090909091,0.8103448275862069
sitting,0.9421965317919075,0.2289156626506024,0.6397849462365591,0.4826086956521739,0.43023255813953487,0.6039603960396039,0.0,0.8736263736263736,0.2962962962962963,0.2193211488250653,0.9536082474226805,0.4517766497461929,0.6966292134831461,0.46153846153846156,0.7096774193548387,0.07407407407407407,0.4646017699115044,0.6905829596412556,0.782608695652174,0.6313559322033898,0.2054794520547945,0.918918918918919,0.8072289156626506,0.932,0.5811965811965812,0.9314079422382672,0.9566929133858267,0.3931297709923664,0.6220238095238095,0.5250596658711217
standing,0.47160493827160493,0.48677248677248675,0.49127906976744184,0.3959731543624161,0.25555555555555554,0.5767918088737202,0.4024691358024691,0.6289752650176679,0.4092526690391459,0.24429967426710097,0.8055555555555556,0.6071428571428571,0.6175548589341693,0.5789473684210527,0.6548042704626335,0.2335907335907336,0.5720430107526882,0.4860335195530726,0.7621951219512195,0.561038961038961,0.5557692307692308,0.5292620865139949,0.5746753246753247,0.6468842729970327,0.5862884160756501,0.6262626262626263,0.8301886792452831,0.5060827250608273,0.3710691823899371,0.4351145038167939
laying,0.7569060773480663,0.9447513812154696,0.9464285714285714,0.8854166666666666,0.9468085106382979,0.24719101123595505,0.8743169398907104,0.8706467661691543,0.5618556701030928,0.9120370370370371,0.909952606635071,0.9041095890410958,0.9493087557603687,0.898876404494382,0.9125475285171103,0.750788643533123,0.868421052631579,0.9325396825396826,0.8176638176638177,0.9506172839506173,0.9348534201954397,0.8918918918918919,0.9645669291338582,0.95703125,0.7111111111111111,0.9420289855072463,0.943609022556391,0.49645390070921985,0.9634146341463414,0.9496124031007752
stand_to_sit,0.11666666666666667,0.10638297872340426,0.2,0.16666666666666666,0.19047619047619047,0.17857142857142858,0.09523809523809523,0.08,0.07692307692307693,0.10714285714285714,0.1388888888888889,0.20833333333333334,0.1016949152542373,0.10526315789473684,0.09230769230769231,0.12,0.14893617021276595,0.1411764705882353,0.027777777777777776,0.102803738317757,0.02912621359223301,0.1,0.0,0.2727272727272727,0.06896551724137931,0.3684210526315789,0.125,0.2608695652173913,0.14814814814814814,0.10416666666666667
sit_to_stand,0.2,0.18518518518518517,0.2608695652173913,0.17647058823529413,0.25,0.10526315789473684,0.16666666666666666,0.25,0.15,0.07142857142857142,0.2222222222222222,0.25,0.3333333333333333,0.18181818181818182,0.17391304347826086,0.20689655172413793,0.28125,0.20689655172413793,0.08,0.10714285714285714,0.12162162162162163,0.15,0.16666666666666666,0.3333333333333333,0.09090909090909091,0.17647058823529413,0.07142857142857142,0.2222222222222222,0.1,0.19230769230769232
sit_to_lie,0.2545454545454545,0.3488372093023256,0.3,0.2391304347826087,0.3191489361702128,0.14814814814814814,0.375,0.34375,0.10344827586206896,0.06779661016949153,0.2894736842105263,0.4117647058823529,0.42105263157894735,0.2727272727272727,0.2222222222222222,0.13846153846153847,0.3958333333333333,0.36,0.23076923076923078,0.29850746268656714,0.10344827586206896,0.3333333333333333,0.34210526315789475,0.3389830508474576,0.325,0.3170731707317073,0.2682926829268293,0.0,0.37777777777777777,0.30612244897959184
