,0,1,2,3,4,5,6,7,8
null,0.11863391252246855,0.4486486486486487,0.40243902439024387,0.4422890397672163,0.2328838174273859,0.39879931389365353,0.32411067193675885,0.20702402957486135,0.37200736648250465
biking,0.9240658899156288,0.9636824324324326,0.9069767441860465,0.7061855670103093,0.8060109289617485,0.7658338175479371,0.8348030570252792,0.904639175257732,0.07940446650124068
sitting,0.0,0.5659340659340659,0.7094594594594594,0.8886565603763721,0.797846889952153,0.9083619702176403,0.5019607843137256,0.46153846153846156,0.0
standing,0.4684354986276304,0.455563853622106,0.023645320197044333,0.032355915065722954,0.0,0.5117691723614276,0.0,0.4888888888888889,0.0
walking,0.27788911155644624,0.8571428571428571,0.25667980727113443,0.20739762219286656,0.037850113550340646,0.037783375314861464,0.4011887072808321,0.7262164124909223,0.0
stair up,0.5115332428765266,0.15982076176250934,0.13160987074030553,0.030088495575221242,0.0,0.28885832187070154,0.11822660098522166,0.254323499491353,0.0
stair down,0.5618090452261306,0.542868752539618,0.3180169286577993,0.3367055771725032,0.10702190110634456,0.1564344746162928,0.37577002053388087,0.5988651243998254,0.5462184873949579
