,0,1,2,3
null,0.919793966151582,0.6663061114115738,0.914622178606477,0.8535630383711824
open_door_1,0.7619047619047619,0.6928104575163399,0.5018587360594795,0.8888888888888888
open_door_2,0.5928571428571429,0.8607594936708861,0.49122807017543857,0.875
close_door_1,0.8378378378378378,0.7837837837837838,0.8134328358208955,0.6778846153846154
close_door_2,0.5719424460431655,0.8547486033519553,0.7142857142857143,0.5981735159817352
open_fridge,0.3333333333333333,0.3448275862068966,0.13935681470137826,0.2905982905982906
close_fridge,0.23529411764705882,0.5353535353535354,0.05952380952380952,0.0
open_dishwasher,0.35036496350364965,0.5376344086021505,0.5068493150684932,0.49
close_dishwasher,0.5163398692810458,0.8679245283018868,0.09915014164305949,0.6842105263157895
open_drawer_1,0.7450980392156863,0.4716981132075472,0.0,0.4393939393939394
close_drawer_1,0.9142857142857143,0.4084507042253521,0.0,0.5
open_drawer_2,0.4810810810810811,0.7532467532467533,0.0,0.8305084745762712
close_drawer_2,0.5725806451612904,0.8333333333333334,0.0,0.5833333333333334
open_drawer_3,0.6987179487179487,0.7727272727272727,0.0,0.7142857142857143
close_drawer_3,0.8421052631578947,0.6538461538461539,0.0,0.453125
clean_table,0.8143459915611815,0.9469387755102041,0.9082125603864735,0.5378151260504201
drink_from_cup,0.8301369863013699,0.9138888888888889,0.8805704099821747,0.918918918918919
toggle_switch,0.5374449339207048,0.6666666666666666,0.6432748538011696,0.4744897959183674
