,0,1,2,3
null,0.7852429939694927,0.8394010792733906,0.7656279331706402,0.8227137089696331
open_door_1,0.09195402298850575,0.2536231884057971,0.11347517730496454,0.035211267605633804
open_door_2,0.05405405405405406,0.20540540540540542,0.1695906432748538,0.11538461538461539
close_door_1,0.1346153846153846,0.08943089430894309,0.24338624338624337,0.20430107526881722
close_door_2,0.14285714285714285,0.2824427480916031,0.1643835616438356,0.33544303797468356
open_fridge,0.08732394366197183,0.15492957746478872,0.16625716625716624,0.039525691699604744
close_fridge,0.1134020618556701,0.20554272517321015,0.22490706319702602,0.1842696629213483
open_dishwasher,0.08968609865470852,0.14545454545454545,0.044444444444444446,0.06550218340611354
close_dishwasher,0.0728744939271255,0.09623430962343096,0.09192200557103064,0.21212121212121213
open_drawer_1,0.04294478527607362,0.011627906976744186,0.043010752688172046,0.0
close_drawer_1,0.019867549668874173,0.04878048780487805,0.02857142857142857,0.03389830508474576
open_drawer_2,0.023529411764705882,0.0,0.014492753623188406,0.058823529411764705
close_drawer_2,0.0,0.04081632653061224,0.11764705882352941,0.0
open_drawer_3,0.13551401869158877,0.1144578313253012,0.11904761904761904,0.1276595744680851
close_drawer_3,0.125,0.109375,0.11330049261083744,0.1783783783783784
clean_table,0.19117647058823528,0.102803738317757,0.20703125,0.4306049822064057
drink_from_cup,0.01107011070110701,0.1762295081967213,0.22780569514237856,0.050666666666666665
toggle_switch,0.056338028169014086,0.037037037037037035,0.09090909090909091,0.08035714285714286
