,0,1,2,3,4,5,6,7,8
null,0.1309192200557103,0.18216175359032502,0.1405099150141643,0.22366522366522368,0.13663967611336034,0.1621017328116266,0.3154981549815498,0.1319073083778966,0.1417910447761194
biking,0.9165302782324058,0.8832807570977917,0.8393700787401575,0.8326693227091634,0.7871602082128398,0.7843731072077529,0.7273695420660277,0.8624078624078624,0.4895833333333333
sitting,0.0,0.8330258302583026,0.5099894847528917,0.914572864321608,0.8910318225650916,0.7630736392742796,0.6032608695652174,0.48936170212765956,0.0
standing,0.44200626959247646,0.5923694779116466,0.6184857423795477,0.9726651480637813,0.6851424172440339,0.8170011806375442,0.0,0.26143790849673204,0.0
walking,0.15269709543568466,0.42528735632183906,0.010050251256281407,0.4823529411764706,0.1530324400564175,0.44674376141205113,0.17278617710583152,0.4428399518652226,0.0
stair up,0.09191919191919191,0.259581881533101,0.12846998063266624,0.356353591160221,0.10430342815463166,0.336166194523135,0.11055276381909548,0.30481727574750833,0.2047930283224401
stair down,0.28515962036238135,0.2945205479452055,0.29788684389911385,0.3325594892629135,0.14140312613595057,0.2683769116921559,0.19230769230769232,0.4169329073482428,0.2119089316987741
