,0,1,2,3,4,5,6,7,8
null,0.13027916964924838,0.27717782577393807,0.291921664626683,0.29067930489731436,0.11553907939450109,0.1942168674698795,0.3127147766323024,0.17343173431734318,0.14457831325301204
biking,0.8082191780821918,0.9114832535885168,0.911890504704876,0.8458376156217883,0.7674779906784049,0.7927090779127949,0.7836919592298981,0.7315010570824524,0.05343511450381679
sitting,0.0,0.716078431372549,0.5945652173913043,0.9073705179282868,0.8051948051948052,0.7993630573248408,0.3979933110367893,0.0,0.005154639175257732
standing,0.37795918367346937,0.46059365404298874,0.6317923763179237,0.9614512471655329,0.7270569620253164,0.843937575030012,0.0,0.16990291262135923,0.0
walking,0.028409090909090908,0.6797945205479452,0.296094459582198,0.6764705882352942,0.00821917808219178,0.6360808709175739,0.18083182640144665,0.6486486486486487,0.0
stair up,0.258732212160414,0.10112359550561797,0.20379436964504283,0.24711538461538463,0.013992537313432836,0.15807962529274006,0.10675039246467818,0.3630434782608696,0.0
stair down,0.37604731394775753,0.3607068607068607,0.37960199004975126,0.39759036144578314,0.08802356020942409,0.30243214663376805,0.21365638766519823,0.4525862068965517,0.3234750462107209
