,0,1,2,3
null,0.5548387096774193,0.6703372333103923,0.43498978897208984,0.41420118343195267
open_door_1,0.8807947019867549,0.8662790697674418,0.6313131313131313,0.18705035971223022
open_door_2,0.9122807017543859,0.8579881656804734,0.47465437788018433,0.08088235294117647
close_door_1,0.9005524861878453,0.8397790055248618,0.1657754010695187,0.9315068493150684
close_door_2,0.9411764705882353,0.7832512315270936,0.14634146341463414,0.900709219858156
open_fridge,0.7398373983739838,0.6115107913669064,0.10191082802547771,0.9423076923076923
close_fridge,0.4921875,0.71900826446281,0.16176470588235295,0.16666666666666666
open_dishwasher,0.82,0.7383720930232558,0.753731343283582,0.5932203389830508
close_dishwasher,0.7862068965517242,0.375886524822695,0.7322834645669292,0.822429906542056
open_drawer_1,0.7452830188679245,0.5083333333333333,0.23423423423423423,0.6413043478260869
close_drawer_1,0.6057692307692307,0.8428571428571429,0.05825242718446602,0.2898550724637681
open_drawer_2,0.8017241379310345,0.7978723404255319,0.11607142857142858,0.09411764705882353
close_drawer_2,0.8058252427184466,0.7222222222222222,0.2920353982300885,0.10526315789473684
open_drawer_3,0.7122302158273381,0.42,0.5354330708661418,0.5204081632653061
close_drawer_3,0.8320610687022901,0.1774193548387097,0.38333333333333336,0.5670103092783505
clean_table,0.8121827411167513,0.5787545787545788,0.6649746192893401,0.9615384615384616
drink_from_cup,0.9857369255150554,0.8737446197991392,0.8235294117647058,0.8832391713747646
toggle_switch,0.9291338582677166,0.8095238095238095,0.37349397590361444,0.96
