,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
climbing_down,0.5248322147651007,0.45222929936305734,0.4802056555269923,0.10569105691056911,0.49470588235294116,0.3987122337790986,0.3854166666666667,0.5577763897564022,0.5738786279683378,0.5919145690312738,0.4993983152827918,0.4787104622871046,0.40031729243786357,0.1607324516785351,0.47855392156862747
climbing_up,0.35571878279118574,0.0,0.2801724137931034,0.07928118393234672,0.15956284153005465,0.13383297644539616,0.17653167185877466,0.1469986357435198,0.3120189461219657,0.15612489991993594,0.39847715736040606,0.33638025594149906,0.22126022126022127,0.04895104895104895,0.21282633371169127
jumping,0.9026548672566371,0.6715116279069767,0.8118811881188119,0.7056737588652482,0.75177304964539,0.7702702702702703,0.9105058365758755,0.7945736434108527,0.9375,0.8469750889679716,0.8035714285714286,0.7774086378737541,0.7967741935483871,0.5952380952380952,0.8806584362139918
lying,0.6333473330533389,0.0006729475100942127,0.941875,0.5499291784702549,0.2640086206896552,0.9489858635525507,0.7023381294964028,0.006322444678609062,0.8802083333333334,0.8454047474132684,0.8711864406779661,0.9061936259771497,0.04247697031729785,0.94760101010101,0.9106308411214953
running,0.970703125,0.9644549763033176,0.754746835443038,0.3466514459665145,0.51193444959031,0.9066032123735871,0.871313672922252,0.9328311362209667,0.7064896755162242,0.9321824907521579,0.9279899812147777,0.9430181590482154,0.8453318335208099,0.8916194076874606,0.8652148322542672
sitting,0.5907844212835984,0.029612756264236904,0.8907710280373832,0.5148837209302326,0.5004939084622984,0.8020116463737427,0.49155869650569295,0.4222161572052402,0.8425624321389794,0.3096668487165483,0.584928716904277,0.8646525679758308,0.3249505510031082,0.5744029393753828,0.8752834467120182
standing,0.5093432995194874,0.8415841584158416,0.5422982885085574,0.41474850809889174,0.4483368719037509,0.7402458578300374,0.12903225806451613,0.7230347349177331,0.7976907630522089,0.5694974003466204,0.5412342981977062,0.8497409326424871,0.5350223546944859,0.6214713430282293,0.7991565629942013
walking,0.49703389830508476,0.5325581395348837,0.5076320939334638,0.5902484763244257,0.4905525846702317,0.26268412438625205,0.5876037091264031,0.4903390448414145,0.483726606997559,0.5785191212367778,0.43128390596745025,0.5285154549412276,0.26001669449081805,0.5813131313131313,0.48365773044436283
