,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
null,0.8610629693818602,0.9102002503128911,0.940515350877193,0.8207242159715487,0.8887557761423927,0.9160992217898832,0.9247948951686418,0.8514139638919955,0.7950053623410449,0.8522427440633246,0.8997480201583873,0.8575563365722555,0.8052147239263804,0.8479343685906827,0.8709028177113284,0.8822062084257206,0.8297531992687386,0.8610974610974611,0.9399026763990268,0.9396170839469808,0.9138877163360067,0.8085696013643147
cutting,0.20984455958549222,0.4482758620689655,0.6946564885496184,0.7755102040816326,0.6860068259385665,0.7547169811320755,0.8934426229508197,0.26421404682274247,0.5058823529411764,0.3670886075949367,0.7285067873303167,0.7937685459940653,0.5952380952380952,0.2857142857142857,0.5361842105263158,0.2871287128712871,0.9629629629629629,0.7220543806646526,0.5113636363636364,0.5555555555555556,0.358974358974359,0.47619047619047616
inverting,0.0,0.46774193548387094,0.16666666666666666,0.04918032786885246,0.0,0.7218045112781954,0.36363636363636365,0.7044334975369458,0.9836065573770492,0.4583333333333333,0.07142857142857142,0.32407407407407407,0.21739130434782608,0.8429752066115702,0.6303030303030303,0.9,0.4672897196261682,0.043010752688172046,0.5421686746987951,0.6464646464646465,0.32085561497326204,0.7349397590361446
peeling,0.3235294117647059,0.0,0.3103448275862069,0.5234375,0.2753623188405797,0.0,0.7011494252873564,0.0,0.0,0.29333333333333333,0.7380952380952381,0.29901960784313725,0.3898305084745763,0.184,0.1951219512195122,0.12307692307692308,0.19327731092436976,0.4921875,0.5806451612903226,0.3617021276595745,0.4,0.0
pestling,0.36048526863084923,0.7413793103448276,0.5529865125240848,0.3287878787878788,0.7514792899408284,0.19696969696969696,0.26931818181818185,0.4782608695652174,0.6502732240437158,0.6263888888888889,0.5211389128559103,0.351270553064275,0.5736607142857143,0.49846153846153846,0.3716608594657375,0.5212765957446809,0.7388724035608308,0.7414634146341463,0.5401929260450161,0.3706293706293706,0.676678445229682,0.24466571834992887
pipetting,0.14755555555555555,0.24439918533604887,0.21075581395348839,0.3419732441471572,0.38441098317094774,0.25769230769230766,0.3370165745856354,0.48638132295719844,0.15030674846625766,0.3844621513944223,0.17261410788381742,0.7192224622030238,0.363265306122449,0.23274161735700197,0.33402489626556015,0.41057367829021374,0.13110539845758354,0.2167689161554192,0.07160493827160494,0.2857142857142857,0.32195121951219513,0.3694581280788177
pouring,0.03278688524590164,0.34210526315789475,0.06920415224913495,0.1348314606741573,0.3442622950819672,0.14285714285714285,0.05263157894736842,0.3269230769230769,0.02,0.25833333333333336,0.14285714285714285,0.14193548387096774,0.13725490196078433,0.1016949152542373,0.17258883248730963,0.3048780487804878,0.15671641791044777,0.05741626794258373,0.0,0.08045977011494253,0.19166666666666668,0.031914893617021274
stirring,0.5172413793103449,0.38366336633663367,0.22053872053872053,0.6428571428571429,0.1690909090909091,0.37628865979381443,0.3953488372093023,0.24342105263157895,0.656441717791411,0.5333333333333333,0.4134078212290503,0.0962962962962963,0.16153846153846155,0.028037383177570093,0.43586387434554974,0.32831325301204817,0.4262295081967213,0.24217118997912318,0.5024038461538461,0.6373626373626373,0.391304347826087,0.4968944099378882
transfer,0.08108108108108109,0.0,0.0,0.2037037037037037,0.06535947712418301,0.0,0.0,0.1875,0.0,0.3157894736842105,0.07692307692307693,0.2392638036809816,0.0,0.0,0.0,0.0,0.2222222222222222,0.05,0.12154696132596685,0.0,0.12755102040816327,0.6
