,0,1,2,3
null,0.763049853372434,0.8045423262216105,0.5728386657590198,0.6692965154503616
open_door_1,0.7880794701986755,0.4069767441860465,0.4444444444444444,0.4172661870503597
open_door_2,0.8947368421052632,0.3136094674556213,0.7880184331797235,0.3161764705882353
close_door_1,0.8453038674033149,0.46408839779005523,0.21390374331550802,0.8287671232876712
close_door_2,0.8705882352941177,0.7241379310344828,0.024390243902439025,0.44680851063829785
open_fridge,0.008130081300813009,0.2805755395683453,0.3821656050955414,0.04807692307692308
close_fridge,0.0078125,0.2727272727272727,0.19852941176470587,0.0
open_dishwasher,0.5466666666666666,0.21511627906976744,0.11194029850746269,0.4576271186440678
close_dishwasher,0.35172413793103446,0.23404255319148937,0.3464566929133858,0.18691588785046728
open_drawer_1,0.5849056603773585,0.016666666666666666,0.0,0.41304347826086957
close_drawer_1,0.23076923076923078,0.11428571428571428,0.0,0.30434782608695654
open_drawer_2,0.4396551724137931,0.5106382978723404,0.0,0.15294117647058825
close_drawer_2,0.5339805825242718,0.3611111111111111,0.0,0.0
open_drawer_3,0.31654676258992803,0.41,0.0,0.826530612244898
close_drawer_3,0.5725190839694656,0.14516129032258066,0.0,0.6082474226804123
clean_table,0.8324873096446701,0.8498168498168498,0.7411167512690355,0.9692307692307692
drink_from_cup,0.8399366085578447,0.9426111908177905,0.786096256684492,0.7137476459510358
toggle_switch,0.905511811023622,0.5034013605442177,0.10843373493975904,0.73
