,0,1,2,3
null,0.9024272624979907,0.8827391340480346,0.814484623860563,0.889766081871345
open_door_1,0.024271844660194174,0.3263157894736842,0.2857142857142857,0.416
open_door_2,0.11666666666666667,0.3,0.3181818181818182,0.20754716981132076
close_door_1,0.436241610738255,0.16666666666666666,0.4523809523809524,0.5510204081632653
close_door_2,0.31645569620253167,0.3269230769230769,0.4111111111111111,0.5529411764705883
open_fridge,0.0872093023255814,0.5291970802919708,0.7394366197183099,0.21982758620689655
close_fridge,0.19298245614035087,0.46938775510204084,0.7311320754716981,0.29831932773109243
open_dishwasher,0.6290322580645161,0.18354430379746836,0.25,0.10126582278481013
close_dishwasher,0.28169014084507044,0.15037593984962405,0.4444444444444444,0.38666666666666666
open_drawer_1,0.03389830508474576,0.0273972602739726,0.2,0.15
close_drawer_1,0.030303030303030304,0.0847457627118644,0.4576271186440678,0.13636363636363635
open_drawer_2,0.05555555555555555,0.0,0.03773584905660377,0.2708333333333333
close_drawer_2,0.14666666666666667,0.0,0.1388888888888889,0.04081632653061224
open_drawer_3,0.37383177570093457,0.11538461538461539,0.4305555555555556,0.6779661016949152
close_drawer_3,0.2391304347826087,0.2289156626506024,0.25609756097560976,0.6111111111111112
clean_table,0.31746031746031744,0.07804878048780488,0.7611940298507462,0.54337899543379
drink_from_cup,0.006738544474393531,0.3569482288828338,0.2894736842105263,0.32492997198879553
toggle_switch,0.23255813953488372,0.049586776859504134,0.23529411764705882,0.6153846153846154
