,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
null,0.7428115015974441,0.7609942638623327,0.7170731707317073,0.7958715596330275,0.7447916666666666,0.5829750644883921,0.726078799249531,0.6723044397463002,0.5849387040280211,0.687799043062201,0.711943793911007,0.5903307888040712,0.6868686868686869,0.5773026315789473,0.7852193995381063,0.7686746987951807,0.745,0.7766423357664234,0.8719646799116998,0.7485493230174082,0.5651515151515152,0.6708860759493671,0.7314814814814815,0.8015267175572519,0.5782208588957055,0.7096774193548387,0.8028846153846154,0.5759668508287292,0.8076152304609219,0.513677811550152
walking,0.7427884615384616,0.8844444444444445,0.7869565217391304,0.8493723849372385,0.7862903225806451,0.8275862068965517,0.631578947368421,0.4217391304347826,0.7533632286995515,0.6412213740458015,0.6199261992619927,0.6228070175438597,0.6735537190082644,0.07582938388625593,0.8289473684210527,0.7783018867924528,0.7360594795539034,0.6229508196721312,0.7461139896373057,0.6432160804020101,0.44711538461538464,0.5258215962441315,0.8070866141732284,0.7734375,0.6992753623188406,0.7269372693726938,0.8144796380090498,0.7297297297297297,0.8303571428571429,0.6529411764705882
walking_upstairs,0.8073770491803278,0.7736625514403292,0.9024390243902439,0.9082125603864735,0.8571428571428571,0.8585365853658536,0.8585858585858586,0.6939655172413793,0.8792270531400966,0.7448979591836735,0.8981481481481481,0.811965811965812,0.7087719298245614,0.42951541850220265,0.9421052631578948,0.9104477611940298,0.8461538461538461,0.6644951140065146,0.8547486033519553,0.7983193277310925,0.577922077922078,0.7761904761904762,0.9336734693877551,0.9466666666666667,0.7620967741935484,0.9386792452830188,0.8962264150943396,0.704119850187266,0.9690721649484536,0.7603305785123967
walking_downstairs,0.8181818181818182,0.8434343434343434,0.7659574468085106,0.8341463414634146,0.9197860962566845,0.9259259259259259,0.8817733990147784,0.6958762886597938,0.9116022099447514,0.8176795580110497,0.9289617486338798,0.9052631578947369,0.7918781725888325,0.6633663366336634,0.9318181818181818,0.9395604395604396,0.9037433155080213,0.6919431279620853,0.8064516129032258,0.925531914893617,0.8677248677248677,0.8142076502732241,0.8925233644859814,0.9279279279279279,0.7692307692307693,0.935,0.9664804469273743,0.93048128342246,0.9267015706806283,0.9163179916317992
sitting,0.9122807017543859,0.5028248587570622,0.8622448979591837,0.8757062146892656,0.7348066298342542,0.8947368421052632,0.8208092485549133,0.7647058823529411,0.2896551724137931,0.5560538116591929,0.7512953367875648,0.5897435897435898,0.9550561797752809,0.6616161616161617,0.9124423963133641,0.532871972318339,0.8448275862068966,0.9342105263157895,0.7647058823529411,0.6085106382978723,0.7050847457627119,0.6597510373443983,0.7658730158730159,0.9644268774703557,0.5077399380804953,0.8647686832740213,0.9683794466403162,0.40077821011673154,0.8908296943231441,0.6788990825688074
standing,0.8318181818181818,0.7181467181467182,0.7686274509803922,0.8960396039603961,0.8372093023255814,0.9112149532710281,0.7444933920704846,0.9082125603864735,0.16230366492146597,0.47641509433962265,0.7882882882882883,0.6866666666666666,0.7592592592592593,0.6574074074074074,0.8472906403940886,0.4750733137829912,0.8296529968454258,0.7864077669902912,0.9296296296296296,0.6908517350157729,0.5607476635514018,0.8346153846153846,0.7246963562753036,0.9190283400809717,0.65,0.8215488215488216,0.9415807560137457,0.6620879120879121,0.7759336099585062,0.5074626865671642
laying,0.8770949720670391,0.9239130434782609,0.9288888888888889,0.9526315789473684,0.9358288770053476,0.3484251968503937,0.9395604395604396,0.9230769230769231,0.788659793814433,0.7116279069767442,0.9471153846153846,0.9216589861751152,0.9631336405529954,0.6927374301675978,0.9382239382239382,0.8692307692307693,0.9382239382239382,0.9558232931726908,0.8377581120943953,0.9338842975206612,0.9255663430420712,0.9523809523809523,0.963855421686747,0.9565217391304348,0.8669201520912547,0.969811320754717,0.9365671641791045,0.5166051660516605,0.9672131147540983,0.9612403100775194
stand_to_sit,0.4,0.34375,0.5714285714285714,0.6296296296296297,0.3333333333333333,0.6666666666666666,0.43478260869565216,0.4782608695652174,0.05714285714285714,0.21428571428571427,0.48148148148148145,0.5142857142857142,0.6129032258064516,0.7333333333333333,0.3870967741935484,0.3076923076923077,0.3488372093023256,0.30612244897959184,0.3870967741935484,0.2711864406779661,0.15789473684210525,0.5925925925925926,0.45454545454545453,0.5142857142857142,0.29411764705882354,0.25,0.4583333333333333,0.2923076923076923,0.6666666666666666,0.3684210526315789
sit_to_stand,0.52,0.45454545454545453,0.5454545454545454,0.75,0.6111111111111112,0.6,0.5833333333333334,0.47368421052631576,0.45454545454545453,0.13636363636363635,0.6666666666666666,0.6470588235294118,0.7222222222222222,0.29411764705882354,0.4782608695652174,0.23529411764705882,0.5909090909090909,0.8421052631578947,0.4444444444444444,0.23333333333333334,0.25,0.44,0.4117647058823529,0.8,0.13333333333333333,0.5416666666666666,0.5625,0.7333333333333333,0.4090909090909091,0.5
sit_to_lie,0.5555555555555556,0.7083333333333334,0.5652173913043478,0.75,0.8076923076923077,0.5357142857142857,0.6923076923076923,0.6666666666666666,0.4090909090909091,0.3333333333333333,0.6923076923076923,0.4722222222222222,0.8,0.0,0.5757575757575758,0.46153846153846156,0.5116279069767442,0.6551724137931034,0.5294117647058824,0.5,0.5294117647058824,0.6666666666666666,0.5454545454545454,0.8076923076923077,0.32608695652173914,0.5,0.41379310344827586,0.0,0.4418604651162791,0.5416666666666666
