,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
null,0.943579766536965,0.913232104121475,0.8931297709923665,0.8438228438228438,0.9067524115755627,0.9445255474452555,0.7535971223021583,0.8096385542168675,0.6770833333333334,0.8607038123167156,0.8409638554216867,0.8807017543859649,0.8695652173913043,0.7310756972111554,0.9512195121951219,0.79,0.8902195608782435,0.9622980251346499,0.9260143198090692,0.8003952569169961,0.7955911823647295,0.9098901098901099,0.8383371824480369,0.9309576837416481,0.7155635062611807,0.9458823529411765,0.924198250728863,0.8752642706131079,0.9018691588785047,0.875968992248062
walking,0.8448753462603878,0.9025641025641026,0.9382716049382716,0.925531914893617,0.78,0.8529411764705882,0.9644970414201184,0.7567567567567568,0.821256038647343,0.6395939086294417,0.8716577540106952,0.8,0.8051282051282052,0.7839506172839507,0.9261083743842364,0.6617100371747212,0.8378378378378378,0.852017937219731,0.9402173913043478,0.9493670886075949,0.9365079365079365,0.8579234972677595,0.8135593220338984,0.7689243027888446,0.8226950354609929,0.7602996254681648,0.8310502283105022,0.8826530612244898,0.8385650224215246,0.7029702970297029
walking_upstairs,0.7808764940239044,0.7601626016260162,0.9024390243902439,0.9504950495049505,0.9261363636363636,0.945054945054945,0.949238578680203,0.7581395348837209,0.8939393939393939,0.8862275449101796,0.9748743718592965,0.8475336322869955,0.9360730593607306,0.5542857142857143,0.9421052631578948,0.9664429530201343,0.6174496644295302,0.8347457627118644,0.9444444444444444,0.9346733668341709,0.9128205128205128,0.9470588235294117,0.8518518518518519,0.9553571428571429,0.9109947643979057,0.95260663507109,0.8878504672897196,0.8565022421524664,0.9792746113989638,0.9485981308411215
walking_downstairs,0.9179487179487179,0.9147727272727273,0.8018018018018018,0.9239130434782609,0.9392265193370166,0.9263157894736842,0.9611111111111111,0.592,0.9261363636363636,0.9079754601226994,0.9940828402366864,0.9453551912568307,0.967032967032967,0.946236559139785,0.9318181818181818,0.9553072625698324,0.9333333333333333,0.9540229885057471,0.8875739644970414,0.9333333333333333,0.945054945054945,0.9433962264150944,0.851528384279476,0.976303317535545,0.9455782312925171,0.9215686274509803,0.9714285714285714,0.9611111111111111,0.9619565217391305,0.9559471365638766
sitting,0.9760479041916168,0.9767441860465116,0.9725274725274725,0.7874396135265701,0.8343949044585988,0.9538461538461539,0.98,0.8816568047337278,0.4460431654676259,0.5833333333333334,0.9933333333333333,0.9908256880733946,0.9770114942528736,0.991304347826087,0.9949238578680203,0.7411167512690355,0.9897435897435898,0.9424778761061947,0.9952380952380953,0.9933333333333333,0.9893048128342246,0.8688524590163934,0.9875,0.9566929133858267,0.6666666666666666,0.9844961240310077,0.9912280701754386,1.0,0.9279279279279279,0.7769784172661871
standing,0.8857142857142857,0.8287037037037037,0.8641975308641975,0.9647887323943662,0.9365079365079365,0.9356435643564357,0.8888888888888888,0.9942196531791907,0.546875,0.4603960396039604,0.8636363636363636,0.68561872909699,0.9583333333333334,0.8592233009708737,0.9591836734693877,0.9893617021276596,0.8901960784313725,0.867109634551495,0.9236363636363636,0.8383458646616542,0.7808641975308642,0.9184549356223176,0.6584615384615384,0.987012987012987,0.8038277511961722,0.8513513513513513,0.946236559139785,0.6476964769647696,0.8768472906403941,0.6558441558441559
laying,0.9760479041916168,0.9611111111111111,0.9904761904761905,0.994535519125683,0.9774011299435028,0.3815789473684211,1.0,0.9803921568627451,0.9647058823529412,0.9635416666666666,0.9797979797979798,0.9950738916256158,0.9857142857142858,0.954248366013072,1.0,0.949748743718593,0.9801587301587301,0.9715447154471545,0.9304635761589404,0.9621848739495799,0.9965753424657534,0.9917355371900827,0.9879032258064516,0.9958333333333333,0.9956709956709957,0.9884615384615385,0.9808429118773946,1.0,0.983402489626556,0.983739837398374
stand_to_sit,0.4827586206896552,0.36666666666666664,0.6818181818181818,0.6071428571428571,0.6666666666666666,0.7727272727272727,0.45454545454545453,0.6875,0.2727272727272727,0.6666666666666666,0.5185185185185185,0.5666666666666667,0.4722222222222222,0.7857142857142857,0.6842105263157895,0.4,0.3409090909090909,0.34782608695652173,0.5483870967741935,0.28846153846153844,0.17647058823529413,0.6,0.47619047619047616,0.6923076923076923,0.4117647058823529,0.4166666666666667,0.43243243243243246,0.29577464788732394,0.6,0.3142857142857143
sit_to_stand,0.8125,0.6153846153846154,0.8125,0.9,0.6666666666666666,0.6,0.7272727272727273,0.5,1.0,0.08571428571428572,0.8125,0.4166666666666667,0.875,0.5,0.6666666666666666,0.35714285714285715,0.7058823529411765,0.8823529411764706,0.30303030303030304,0.5909090909090909,0.4166666666666667,0.2619047619047619,0.7692307692307693,0.7333333333333333,0.8,0.9230769230769231,0.45454545454545453,0.6875,0.5625,0.5416666666666666
sit_to_lie,0.7,0.8947368421052632,0.6956521739130435,0.6785714285714286,0.9090909090909091,0.5517241379310345,0.8571428571428571,0.7142857142857143,0.6842105263157895,0.5714285714285714,0.75,0.5925925925925926,0.875,0.4444444444444444,0.625,0.5384615384615384,0.8148148148148148,1.0,0.782608695652174,0.7857142857142857,0.7368421052631579,0.7647058823529411,0.6129032258064516,0.8076923076923077,0.4864864864864865,0.8571428571428571,0.8,0.7272727272727273,0.7037037037037037,0.6785714285714286
