,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
null,0.3862876254180602,0.39271255060728744,0.5288966725043783,0.40987654320987654,0.4325068870523416,0.300087489063867,0.5088105726872246,0.4488888888888889,0.5336658354114713,0.42128279883381925,0.5380577427821522,0.5397727272727273,0.5170842824601367,0.5160493827160494,0.486284289276808,0.4477401129943503,0.450354609929078,0.4364207221350079,0.49658314350797267,0.38377192982456143,0.23897911832946636,0.45252525252525255,0.4881720430107527,0.5783132530120482,0.603585657370518,0.42385321100917434,0.550761421319797,0.687382297551789,0.48504273504273504,0.46006389776357826
walking,0.8333333333333334,0.2995169082125604,0.8349514563106796,0.9952380952380953,0.9444444444444444,0.8960396039603961,0.8258706467661692,0.7701149425287356,0.9672131147540983,0.967741935483871,0.8857142857142857,0.9060773480662984,0.92,0.0,0.8350515463917526,0.861878453038674,0.631336405529954,0.5326633165829145,0.6577540106951871,0.75,0.0797872340425532,0.7987804878048781,0.8743961352657005,0.9803921568627451,0.8661417322834646,0.9466019417475728,0.97,0.8673469387755102,0.6063829787234043,0.9867256637168141
walking_upstairs,0.995,0.9840425531914894,0.9823788546255506,0.7185929648241206,0.7445652173913043,0.643979057591623,0.9841269841269841,0.9151515151515152,0.5567567567567567,0.5084745762711864,0.9701492537313433,0.8592964824120602,0.9807692307692307,0.964824120603015,0.912568306010929,0.917098445595855,0.9301075268817204,0.9624413145539906,0.9426751592356688,0.9897435897435898,0.994413407821229,0.8536585365853658,0.9625668449197861,0.9541284403669725,0.8354430379746836,0.8719211822660099,0.9015544041450777,0.9792746113989638,0.6263157894736842,0.7531914893617021
walking_downstairs,0.844559585492228,0.776536312849162,0.8241758241758241,0.9378531073446328,0.9827586206896551,0.9830508474576272,0.9392265193370166,0.6556291390728477,0.9767441860465116,0.967741935483871,0.9491525423728814,0.9488636363636364,0.7292817679558011,0.6724137931034483,0.9698795180722891,0.9545454545454546,0.9142857142857143,0.32195121951219513,0.9736842105263158,0.9152542372881356,0.8685714285714285,0.9539473684210527,0.6884422110552764,0.9571428571428572,0.6047619047619047,0.9738219895287958,0.9428571428571428,0.9545454545454546,0.9833333333333333,0.7543859649122807
sitting,0.9702380952380952,0.2289156626506024,0.6739130434782609,0.5114942528735632,0.5723270440251572,0.6243654822335025,0.13529411764705881,0.9515151515151515,0.22872340425531915,0.4329896907216495,0.8586387434554974,0.6443298969072165,0.7257142857142858,0.20618556701030927,0.9112149532710281,0.31759656652360513,0.6637168141592921,0.7037037037037037,0.5928853754940712,0.5598290598290598,0.20618556701030927,0.944954128440367,0.8781512605042017,0.9754098360655737,0.6167400881057269,0.9597069597069597,0.9601593625498008,0.35797665369649806,0.9952153110047847,0.9690265486725663
standing,0.979381443298969,0.9195979899497487,0.7873303167420814,0.8010204081632653,0.42574257425742573,0.8529411764705882,0.8900523560209425,0.88,0.6628571428571428,0.44970414201183434,0.9613259668508287,0.9351851851851852,0.9248826291079812,0.8598130841121495,0.9040404040404041,0.44649446494464945,0.9471830985915493,0.9522058823529411,0.9536679536679536,0.7406015037593985,0.9314641744548287,0.920704845814978,0.8524590163934426,0.8852459016393442,0.9692307692307692,0.9358490566037736,0.9432624113475178,0.75,0.502127659574468,0.600896860986547
laying,0.9127906976744186,0.9661016949152542,0.9683257918552036,0.9202127659574468,0.978021978021978,0.8844221105527639,0.8983050847457628,0.8704663212435233,0.5968586387434555,0.9425837320574163,0.9507389162561576,0.9345794392523364,0.9672897196261683,0.9364161849710982,0.92578125,0.9877049180327869,0.93359375,0.9510204081632653,0.9930795847750865,0.9871244635193133,0.9444444444444444,0.92,0.9838709677419355,0.9800796812749004,0.7404580152671756,0.9923664122137404,0.9541984732824428,0.5166051660516605,0.9875,0.9490196078431372
stand_to_sit,0.42105263157894735,0.625,0.47058823529411764,0.15,0.4,0.16666666666666666,0.0,0.25,0.07692307692307693,0.15384615384615385,0.4666666666666667,0.15789473684210525,0.2631578947368421,0.25,0.3076923076923077,0.05555555555555555,0.26666666666666666,0.2692307692307692,0.0,0.5238095238095238,0.3125,0.17647058823529413,0.0,0.3157894736842105,0.1111111111111111,0.38461538461538464,0.1111111111111111,0.38095238095238093,0.3125,0.11764705882352941
sit_to_stand,0.1875,0.3076923076923077,0.4,0.21428571428571427,0.38461538461538464,0.15384615384615385,0.4444444444444444,0.4,0.0,0.25,0.5384615384615384,0.3333333333333333,0.4,0.3076923076923077,0.23076923076923078,0.3,0.6875,0.4444444444444444,0.07692307692307693,0.26666666666666666,0.6428571428571429,0.1875,0.21428571428571427,0.5833333333333334,0.11764705882352941,0.2,0.0,0.3076923076923077,0.2,0.21428571428571427
sit_to_lie,0.5714285714285714,0.8421052631578947,0.7647058823529411,0.43478260869565216,0.75,0.75,0.6086956521739131,0.8,0.15789473684210525,0.4117647058823529,0.47368421052631576,0.6666666666666666,0.6818181818181818,0.391304347826087,0.7,0.4,0.6296296296296297,0.7727272727272727,0.5263157894736842,0.5862068965517241,0.35,0.7333333333333333,0.6666666666666666,0.7272727272727273,0.5789473684210527,0.7,0.4782608695652174,0.047619047619047616,0.5185185185185185,0.5416666666666666
