,0,1,2,3,4,5,6,7,8
null,0.2529585798816568,0.4712430426716141,0.3569277108433735,0.4973404255319149,0.25742971887550203,0.43132108486439197,0.5824561403508772,0.3897058823529412,0.20496894409937888
biking,0.8711656441717791,0.8305332359386414,0.9682107175295186,0.9367755532139094,0.8635536688902365,0.8421379738968303,0.9751098096632503,0.8947368421052632,0.4897959183673469
sitting,0.0,0.6669626998223801,0.9575551782682513,0.9202247191011236,0.8692468619246861,0.9683313032886723,0.410958904109589,0.8333333333333334,0.0
standing,0.4284475281873374,0.8878504672897196,0.9309600862998921,0.9258400926998841,0.8361423220973783,0.9758713136729222,0.0,0.35036496350364965,0.0
walking,0.5988857938718662,0.9164345403899722,0.6889226100151745,0.8927789934354485,0.7505070993914807,0.7059760956175298,0.8888888888888888,0.8015151515151515,0.0
stair up,0.5393053016453382,0.215633423180593,0.46226415094339623,0.6421663442940039,0.0970873786407767,0.5360501567398119,0.3644067796610169,0.0,0.45901639344262296
stair down,0.48947368421052634,0.3292792792792793,0.4961139896373057,0.4349291975724882,0.42369477911646586,0.3502851711026616,0.37460815047021945,0.42037861915367486,0.5509259259259259
