,0,1,2,3
null,0.9063528220703619,0.9133837495603236,0.9228675136116152,0.8958735055919784
open_door_1,0.47474747474747475,0.3548387096774194,0.5135135135135135,0.2824427480916031
open_door_2,0.5333333333333333,0.38461538461538464,0.5178571428571429,0.13978494623655913
close_door_1,0.30158730158730157,0.26373626373626374,0.4117647058823529,0.16517857142857142
close_door_2,0.2620967741935484,0.6666666666666666,0.3488372093023256,0.3516483516483517
open_fridge,0.19851116625310175,0.19814241486068113,0.1835164835164835,0.46511627906976744
close_fridge,0.23529411764705882,0.23825503355704697,0.19553805774278216,0.3482142857142857
open_dishwasher,0.20833333333333334,0.4,0.08518518518518518,0.11594202898550725
close_dishwasher,0.10975609756097561,0.18181818181818182,0.1157556270096463,0.2826086956521739
open_drawer_1,0.08653846153846154,0.08641975308641975,0.05405405405405406,0.12
close_drawer_1,0.1388888888888889,0.1951219512195122,0.12195121951219512,0.23076923076923078
open_drawer_2,0.061224489795918366,0.0,0.1111111111111111,0.2857142857142857
close_drawer_2,0.05714285714285714,0.08333333333333333,0.13333333333333333,0.0
open_drawer_3,0.25,0.28205128205128205,0.21505376344086022,0.14736842105263157
close_drawer_3,0.3148148148148148,0.16022099447513813,0.21511627906976744,0.15028901734104047
clean_table,0.367816091954023,0.8076923076923077,0.3561643835616438,0.605
drink_from_cup,0.38181818181818183,0.24121779859484777,0.8227272727272728,0.24324324324324326
toggle_switch,0.12418300653594772,0.10576923076923077,0.189873417721519,0.11242603550295859
