,0,1,2,3
null,0.767392458842273,0.7061440088963024,0.6921850079744817,0.7242576166602391
open_door_1,0.7073170731707317,0.6590909090909091,0.48056537102473496,0.4850746268656716
open_door_2,0.6451612903225806,0.4583333333333333,0.5750000000000001,0.38679245283018865
close_door_1,0.7930029154518949,0.6216216216216216,0.4827586206896552,0.38692098092643046
close_door_2,0.6647398843930635,0.5803108808290155,0.4228187919463087,0.3304347826086957
open_fridge,0.0,0.25,0.14086814086814084,0.30708661417322836
close_fridge,0.05925925925925926,0.309278350515464,0.1188118811881188,0.0
open_dishwasher,0.4620060790273557,0.1596244131455399,0.22278481012658227,0.4473684210526316
close_dishwasher,0.3439490445859873,0.23036649214659688,0.17586206896551726,0.2444444444444444
open_drawer_1,0.12030075187969926,0.40217391304347827,0.0,0.3925233644859813
close_drawer_1,0.03603603603603604,0.5060240963855421,0.0,0.10526315789473682
open_drawer_2,0.5178571428571428,0.6210526315789473,0.0,0.47058823529411764
close_drawer_2,0.48128342245989303,0.30769230769230765,0.0,0.07407407407407407
open_drawer_3,0.6060606060606061,0.3464566929133858,0.1037037037037037,0.3583815028901734
close_drawer_3,0.4606741573033708,0.5136612021857924,0.014492753623188406,0.4051948051948052
clean_table,0.8673469387755102,0.8618556701030927,0.9086538461538461,0.7701492537313431
drink_from_cup,0.8300597779675492,0.8797564687975648,0.8166939443535189,0.8301886792452831
toggle_switch,0.6569767441860465,0.6691729323308271,0.011627906976744186,0.4869565217391304
