,0,1,2,3
null,0.6225764756570443,0.5457670820799312,0.5292682926829269,0.567714631197098
open_door_1,0.5471698113207547,0.4915254237288136,0.31627906976744186,0.32019704433497537
open_door_2,0.47619047619047616,0.2972972972972973,0.40350877192982454,0.23976608187134502
close_door_1,0.6570048309178744,0.45098039215686275,0.3181818181818182,0.23986486486486486
close_door_2,0.49783549783549785,0.40875912408759124,0.2680851063829787,0.19791666666666666
open_fridge,0.0,0.14285714285714285,0.07577092511013216,0.1813953488372093
close_fridge,0.030534351145038167,0.18292682926829268,0.06315789473684211,0.0
open_dishwasher,0.30039525691699603,0.08673469387755102,0.12535612535612536,0.288135593220339
close_dishwasher,0.2076923076923077,0.1301775147928994,0.09640831758034027,0.13924050632911392
open_drawer_1,0.064,0.25170068027210885,0.0,0.2441860465116279
close_drawer_1,0.01834862385321101,0.3387096774193548,0.0,0.05555555555555555
open_drawer_2,0.3493975903614458,0.45038167938931295,0.0,0.3076923076923077
close_drawer_2,0.31690140845070425,0.18181818181818182,0.0,0.038461538461538464
open_drawer_3,0.43478260869565216,0.20952380952380953,0.0546875,0.21830985915492956
close_drawer_3,0.29927007299270075,0.34558823529411764,0.0072992700729927005,0.254071661237785
clean_table,0.7657657657657657,0.7572463768115942,0.8325991189427313,0.6262135922330098
drink_from_cup,0.7094890510948905,0.7853260869565217,0.690179806362379,0.7096774193548387
toggle_switch,0.48917748917748916,0.5028248587570622,0.005847953216374269,0.3218390804597701
