,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
null,0.7666666666666667,0.7781885397412199,0.7145214521452146,0.689795918367347,0.7038961038961039,0.6921161825726141,0.7644710578842315,0.6953781512605042,0.6612244897959184,0.7298387096774194,0.7320574162679426,0.5482233502538071,0.7607758620689655,0.5591572123176661,0.7582159624413145,0.7810126582278482,0.7357859531772575,0.8140929535232384,0.7662337662337663,0.7675350701402806,0.748062015503876,0.7509803921568627,0.625,0.7777777777777778,0.5796847635726795,0.6363636363636364,0.7421686746987952,0.6738056013179572,0.7710371819960861,0.5354107648725213
walking,0.8168316831683168,0.1590909090909091,0.7330508474576272,0.816,0.7975206611570248,0.834061135371179,0.7543103448275862,0.6536964980544747,0.885,0.6724137931034483,0.6853932584269663,0.7456896551724138,0.6859205776173285,0.12307692307692308,0.7983193277310925,0.7625570776255708,0.6784313725490196,0.71900826446281,0.7424242424242424,0.8267326732673267,0.3284313725490196,0.7083333333333334,0.70995670995671,0.7386363636363636,0.7492354740061162,0.6567656765676567,0.8042553191489362,0.7929515418502202,0.8243243243243243,0.7129032258064516
walking_upstairs,0.8596491228070176,0.45544554455445546,0.8175182481751825,0.9130434782608695,0.883248730964467,0.9211822660098522,0.8714285714285714,0.8624338624338624,0.817351598173516,0.7772020725388601,0.9241706161137441,0.9182692307692307,0.9223744292237442,0.46318289786223277,0.9319371727748691,0.8984771573604061,0.7261904761904762,0.7735849056603774,0.8579545454545454,0.8538812785388128,0.5830618892508144,0.8901098901098901,0.684981684981685,0.9344978165938864,0.7985611510791367,0.8973214285714286,0.8796296296296297,0.9219512195121952,0.9346733668341709,0.8821138211382114
walking_downstairs,0.8260869565217391,0.8870967741935484,0.821917808219178,0.8415841584158416,0.8673469387755102,0.9361702127659575,0.8911917098445595,0.85,0.912568306010929,0.7967914438502673,0.9453551912568307,0.8529411764705882,0.8263157894736842,0.5714285714285714,0.9106145251396648,0.9395604395604396,0.9395604395604396,0.7914691943127962,0.7947368421052632,0.946236559139785,0.875,0.8361581920903954,0.7580645161290323,0.9151785714285714,0.759656652360515,0.8995215311004785,0.9558011049723757,0.9402173913043478,0.9040404040404041,0.8936170212765957
sitting,0.9248554913294798,0.49101796407185627,0.8638743455497382,0.8907103825136612,0.745945945945946,0.695,0.6608187134502924,0.8491620111731844,0.0425531914893617,0.2852233676975945,0.7783505154639175,0.5728643216080402,0.9497206703910615,0.676923076923077,0.9049773755656109,0.40705128205128205,0.6491228070175439,0.933920704845815,0.6802973977695167,0.7288135593220338,0.5902140672782875,0.6597510373443983,0.8693877551020408,0.9404761904761905,0.6329113924050633,0.8865248226950354,0.4940239043824701,0.42424242424242425,0.8388429752066116,0.6927899686520376
standing,0.8475336322869955,0.5255474452554745,0.7871485943775101,0.615,0.8194444444444444,0.75,0.7322834645669292,0.8823529411764706,0.4457831325301205,0.3678571428571429,0.7918552036199095,0.6655948553054662,0.9348837209302325,0.6284403669724771,0.875,0.480225988700565,0.6701030927835051,0.8571428571428571,0.9047619047619048,0.721875,0.6151832460732984,0.7198697068403909,0.7560975609756098,0.9233870967741935,0.6416666666666667,0.7918088737201365,0.7604456824512534,0.5897435897435898,0.7024793388429752,0.44370860927152317
laying,0.9273743016759777,0.9398907103825137,0.9508928571428571,0.953125,0.9358288770053476,0.5014245014245015,0.8406593406593407,0.8934010152284264,0.8461538461538461,0.5545023696682464,0.9138755980861244,0.8858447488584474,0.963302752293578,0.6910112359550562,0.9069767441860465,0.8759124087591241,0.9236641221374046,0.9395161290322581,0.8137535816618912,0.95,0.9511400651465798,0.9450980392156862,0.8932806324110671,0.9686274509803922,0.8593155893536122,0.9628252788104089,0.969811320754717,0.9709090909090909,0.967479674796748,0.9612403100775194
stand_to_sit,0.48484848484848486,0.1527777777777778,0.46875,0.52,0.4642857142857143,0.43243243243243246,0.3333333333333333,0.4,0.3333333333333333,0.0821917808219178,0.6,0.38095238095238093,0.6428571428571429,0.5882352941176471,0.375,0.19444444444444445,0.6666666666666666,0.46153846153846156,0.4482758620689655,0.2857142857142857,0.1568627450980392,0.4782608695652174,0.21052631578947367,0.39473684210526316,0.3939393939393939,0.22580645161290322,0.42424242424242425,0.3114754098360656,0.6363636363636364,0.21212121212121213
sit_to_stand,0.631578947368421,0.3333333333333333,0.5714285714285714,0.8,0.47368421052631576,0.5294117647058824,0.2727272727272727,0.3,0.3,0.033707865168539325,0.7333333333333333,0.5625,0.7647058823529411,0.35714285714285715,0.5,0.25,0.6190476190476191,0.7894736842105263,0.1724137931034483,0.45454545454545453,0.2,0.2608695652173913,0.75,0.7692307692307693,0.2,0.7647058823529411,0.14084507042253522,0.6,0.38095238095238093,0.38461538461538464
sit_to_lie,0.72,0.36363636363636365,0.6,0.7857142857142857,0.7777777777777778,0.5,0.72,0.6,0.45454545454545453,0.375,0.6538461538461539,0.6521739130434783,0.7727272727272727,0.0,0.6,0.5416666666666666,0.5714285714285714,0.7307692307692307,0.5862068965517241,0.5,0.5384615384615384,0.5238095238095238,0.6451612903225806,0.8333333333333334,0.5517241379310345,0.7272727272727273,0.35714285714285715,0.0,0.375,0.5625
