,0,1,2,3
null,0.8608840392084336,0.8821693747982352,0.8226439790575916,0.8874695352550634
open_door_1,0.4820359281437126,0.3820224719101124,0.4372623574144487,0.43560606060606066
open_door_2,0.5425219941348974,0.3844393592677346,0.5087440381558028,0.3501199040767386
close_door_1,0.5384615384615384,0.3355704697986577,0.46436781609195404,0.5044404973357016
close_door_2,0.564344746162928,0.5390946502057613,0.26262626262626265,0.4740740740740741
open_fridge,0.29429429429429427,0.3610586011342155,0.266813671444322,0.31444241316270566
close_fridge,0.3300110741971207,0.3638888888888888,0.20868040333187196,0.28630705394190875
open_dishwasher,0.2739018087855297,0.27802690582959644,0.16262482168330955,0.2347417840375587
close_dishwasher,0.3552631578947368,0.21585903083700442,0.18688981868898188,0.39037433155080214
open_drawer_1,0.3167155425219942,0.06666666666666667,0.03787878787878788,0.18025751072961374
close_drawer_1,0.31090487238979114,0.13872832369942198,0.06374501992031872,0.1168831168831169
open_drawer_2,0.3553299492385787,0.0,0.0441988950276243,0.24521072796934865
close_drawer_2,0.2945736434108527,0.01680672268907563,0.030303030303030304,0.11976047904191614
open_drawer_3,0.39928057553956836,0.11403508771929825,0.20477815699658705,0.29668411867364747
close_drawer_3,0.47191011235955055,0.30851063829787234,0.2857142857142857,0.39747634069400634
clean_table,0.5648648648648649,0.6596306068601584,0.7726550079491256,0.7845579078455792
drink_from_cup,0.5525959367945824,0.6614936954413191,0.4416403785488959,0.630517023959647
toggle_switch,0.3783783783783784,0.3575042158516021,0.27149321266968324,0.4430379746835443
