,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
null,0.5199829023295576,0.8740497838724102,0.7117003367003367,0.813015873015873,0.7796535525543159,0.7679569034317638,0.7817200154261473,0.8228203434610304,0.9402376307856003,0.8006684898207231,0.8111825384960383,0.7642417244033872,0.8568281938325991,0.7676609105180534,0.6818604651162791,0.8001824817518248,0.8967329220927576,0.7456222639149468,0.777714502657555,0.8704033695123927,0.8807458002584456,0.8817829457364341
cutting,0.2647058823529412,0.4883720930232558,0.7765151515151515,0.58656330749354,0.9181818181818182,0.6950819672131148,0.6923076923076923,0.8535031847133758,0.8111888111888111,0.5569620253164557,0.4576271186440678,0.8280254777070064,0.6701030927835051,0.052980132450331126,0.7815533980582524,0.8571428571428571,0.6466431095406361,0.840531561461794,0.696551724137931,0.8412698412698413,0.6936170212765957,0.35911602209944754
inverting,0.0,0.6923076923076923,0.9523809523809523,0.22916666666666666,0.0,0.8952380952380953,0.4642857142857143,0.8636363636363636,0.21022727272727273,0.30303030303030304,0.0,0.3565217391304348,0.6875,0.4939271255060729,0.8,0.6666666666666666,0.9051724137931034,1.0,0.8877551020408163,0.6938775510204082,0.8641975308641975,0.44360902255639095
peeling,0.0625,0.0,0.19289340101522842,0.6802721088435374,0.26785714285714285,0.0,0.449438202247191,0.48,0.0,0.4,0.39361702127659576,0.5918367346938775,0.3088235294117647,0.5531914893617021,0.5316455696202531,0.4,0.21428571428571427,0.27848101265822783,0.0,0.0,0.4444444444444444,0.0
pestling,0.8893709327548807,0.7276785714285714,0.9738562091503268,0.7562724014336918,0.4948453608247423,0.8074534161490683,0.8037037037037037,0.5799086757990868,0.654485049833887,0.5031289111389237,0.7771260997067448,0.419773095623987,0.26988922457200404,0.578538102643857,0.44468085106382976,0.678513731825525,0.7670364500792393,0.46875,0.8994974874371859,0.9457831325301205,0.41414141414141414,0.18923933209647495
pipetting,0.4430051813471503,0.4114441416893733,0.6,0.3721356553620532,0.3646477132262052,0.38154613466334164,0.6055045871559633,0.28364688856729375,0.005905511811023622,0.509375,0.5134328358208955,0.49581239530988275,0.5660964230171073,0.5100401606425703,0.6237816764132553,0.6848072562358276,0.0125,0.6584440227703985,0.3046875,0.3371647509578544,0.17560975609756097,0.3900862068965517
pouring,0.05555555555555555,0.0898876404494382,0.16853932584269662,0.08465608465608465,0.09322033898305085,0.1553398058252427,0.037037037037037035,0.07784431137724551,0.0,0.034482758620689655,0.24170616113744076,0.78,0.31868131868131866,0.29411764705882354,0.46,0.25225225225225223,0.22727272727272727,0.6875,0.14285714285714285,0.14492753623188406,0.4375,0.0
stirring,0.02717391304347826,0.32677165354330706,0.27860696517412936,0.45,0.9320388349514563,0.6134453781512605,0.45408163265306123,0.3617021276595745,0.33238636363636365,0.47293447293447294,0.4466230936819172,0.5916230366492147,0.4122137404580153,0.10365853658536585,0.5435114503816794,0.3011049723756906,0.3081395348837209,0.49282296650717705,0.6097560975609756,0.17567567567567569,0.9085820895522388,0.689873417721519
transfer,0.13793103448275862,0.06666666666666667,0.0,0.012987012987012988,0.0,0.0,0.0,0.058823529411764705,0.0,0.7407407407407407,0.21153846153846154,0.005376344086021506,0.0,0.0,0.0,0.0,0.42857142857142855,0.10869565217391304,0.0,0.0,0.0,0.4444444444444444
