,0,1,2,3,4,5,6,7,8
null,0.20866489832007074,0.4164152082076041,0.2721280602636535,0.4935323383084577,0.2598595353862777,0.37243947858473,0.5465935787000783,0.32881355932203393,0.19184652278177458
biking,0.9204040404040403,0.8148148148148149,0.9156725627313862,0.8631578947368422,0.9098135126872515,0.8125,0.887218045112782,0.8941176470588234,0.2558139534883721
sitting,0.0,0.5045822102425875,0.5308441558441559,0.9213367609254499,0.9204975662520282,0.9155657668006891,0.5770171149144254,0.4642857142857143,0.0
standing,0.569436698271054,0.5088940448569218,0.8968850698174007,0.9557522123893805,0.8358208955223879,0.9127343244990302,0.0,0.45323741007194246,0.0
walking,0.41416309012875535,0.7352425482174167,0.04470359572400389,0.7318518518518518,0.596978358513679,0.7382016890213612,0.3287128712871287,0.6602461209202781,0.06060606060606061
stair up,0.27935533384497313,0.5739130434782609,0.41660489251297256,0.3732950466618808,0.00749063670411985,0.26021876799078875,0.12235294117647057,0.5101543460601137,0.09324009324009323
stair down,0.6853932584269663,0.6040816326530613,0.6337920489296637,0.5635459068294889,0.196763202725724,0.37413793103448273,0.489795918367347,0.6038270729978739,0.3847167325428195
