,0,1,2,3,4,5,6,7,8
null,0.20733944954128442,0.40440165061898214,0.37384615384615383,0.6155507559395248,0.20887991927346114,0.4746494066882416,0.6290909090909091,0.40993788819875776,0.19428571428571428
biking,0.8512898330804249,0.7844474761255116,0.959758551307847,0.9449438202247191,0.8141097424412094,0.944121915820029,0.9012178619756428,0.7553191489361702,0.025
sitting,0.0,0.7189473684210527,0.8842975206611571,0.9094608341810784,0.9582278481012658,0.9434194341943419,0.3993610223642173,0.7666666666666667,0.0
standing,0.4393193013882669,0.8934240362811792,0.5226415094339623,0.9746251441753172,0.6815193571950329,0.9506008010680908,0.0,0.2185430463576159,0.0
walking,0.7129909365558912,0.8826185101580135,0.8243243243243243,0.9055374592833876,0.8787878787878788,0.7662440570522979,0.5302491103202847,0.5111111111111111,0.0
stair up,0.6466992665036675,0.38064516129032255,0.22948717948717948,0.6750663129973474,0.08247422680412371,0.5806451612903226,0.04984423676012461,0.5870503597122302,0.16549295774647887
stair down,0.7346723044397463,0.34555499748869917,0.44073107049608357,0.4488330341113106,0.239375,0.3810337462622811,0.4570552147239264,0.6816239316239316,0.5482866043613707
