,0,1,2,3
null,0.8665731322343038,0.8243909409159106,0.8949955317247542,0.8824023519529609
open_door_1,0.5342019543973942,0.34545454545454546,0.4645390070921986,0.4112903225806452
open_door_2,0.5583333333333333,0.47651006711409394,0.48951048951048953,0.4225352112676056
close_door_1,0.6729559748427673,0.48360655737704916,0.5423728813559322,0.28975265017667845
close_door_2,0.4075907590759076,0.6747967479674797,0.6022727272727273,0.6164383561643836
open_fridge,0.2719033232628399,0.3629032258064516,0.19262038774233897,0.30303030303030304
close_fridge,0.2625,0.34271099744245526,0.24880382775119617,0.3622641509433962
open_dishwasher,0.2739273927392739,0.3929712460063898,0.15705128205128205,0.3
close_dishwasher,0.2647058823529412,0.47115384615384615,0.11842105263157894,0.27638190954773867
open_drawer_1,0.21138211382113822,0.21897810218978103,0.18032786885245902,0.30985915492957744
close_drawer_1,0.26356589147286824,0.3333333333333333,0.21509433962264152,0.2692307692307692
open_drawer_2,0.21495327102803738,0.34375,0.4482758620689655,0.2876712328767123
close_drawer_2,0.29,0.0,0.19933554817275748,0.1875
open_drawer_3,0.3684210526315789,0.39166666666666666,0.5384615384615384,0.19795221843003413
close_drawer_3,0.39285714285714285,0.36363636363636365,0.5813953488372093,0.2325056433408578
clean_table,0.6121212121212121,0.9591836734693877,0.6126582278481013,0.715962441314554
drink_from_cup,0.7801047120418848,0.3827353094123765,0.7531806615776081,0.8097087378640777
toggle_switch,0.2582897033158813,0.4975845410628019,0.28776978417266186,0.3092105263157895
