,0,1,2,3,4,5,6,7,8
null,0.16446124763705103,0.2419465387251542,0.1665630826600373,0.3119015047879617,0.16946854663774402,0.2646797153024911,0.3246445497630332,0.196,0.1683991683991684
biking,0.8058114812189936,0.6937652811735942,0.8688138256087982,0.7903885480572597,0.8541176470588235,0.9147887323943662,0.6524249422632794,0.7962962962962963,0.1348314606741573
sitting,0.0,0.33203429462197975,0.6283185840707964,0.916919959473151,0.8244897959183674,0.8356756756756757,0.40273037542662116,0.0,0.0
standing,0.3539752297243308,0.384297520661157,0.6976958525345622,0.9391891891891891,0.624509033778476,0.7347161572052402,0.0,0.27848101265822783,0.0
walking,0.23228882833787465,0.6731107205623902,0.3433962264150943,0.6731066460587326,0.5374812593703149,0.5554885404101327,0.03142857142857143,0.7160963244613435,0.0
stair up,0.1462140992167102,0.1242798353909465,0.11024135681669928,0.38475499092558985,0.011182108626198083,0.22002085505735142,0.12716763005780346,0.253025302530253,0.023323615160349854
stair down,0.5078821110349554,0.36082474226804123,0.39601863617111394,0.46830723340790453,0.12718204488778054,0.4445165476963011,0.26182432432432434,0.4133522727272727,0.2991304347826087
