,0,1,2,3
null,0.7996593097318916,0.8381598793363499,0.7341661824520628,0.8328743545611016
open_door_1,0.14349775784753363,0.2835820895522388,0.12280701754385964,0.14864864864864866
open_door_2,0.335,0.3140495867768595,0.19662921348314608,0.12096774193548387
close_door_1,0.2777777777777778,0.21296296296296297,0.2704626334519573,0.29949238578680204
close_door_2,0.40476190476190477,0.48484848484848486,0.3275862068965517,0.34265734265734266
open_fridge,0.12372448979591837,0.1417910447761194,0.14601473543201607,0.11436950146627566
close_fridge,0.1787709497206704,0.22406639004149378,0.17105263157894737,0.090625
open_dishwasher,0.07246376811594203,0.06666666666666667,0.09125475285171103,0.02040816326530612
close_dishwasher,0.0514018691588785,0.1336405529953917,0.1,0.10784313725490197
open_drawer_1,0.0,0.013333333333333334,0.0,0.0
close_drawer_1,0.0,0.0,0.0,0.0
open_drawer_2,0.0,0.0,0.0,0.0
close_drawer_2,0.012345679012345678,0.12,0.0,0.0
open_drawer_3,0.0954356846473029,0.07692307692307693,0.02531645569620253,0.1111111111111111
close_drawer_3,0.1506276150627615,0.20212765957446807,0.17297297297297298,0.06521739130434782
clean_table,0.21495327102803738,0.03864734299516908,0.21843003412969283,0.004484304932735426
drink_from_cup,0.032806804374240585,0.20784313725490197,0.28888888888888886,0.328537170263789
toggle_switch,0.3805970149253731,0.15591397849462366,0.13839285714285715,0.22377622377622378
