,0,1,2,3,4,5,6,7,8
null,0.1613316261203585,0.27246585190510425,0.2727272727272727,0.2578008915304606,0.10921217173822426,0.22400475341651813,0.3336363636363636,0.203125,0.1837037037037037
biking,0.8189781021897811,0.7113337507827175,0.7324159021406728,0.6481876332622601,0.777027027027027,0.9188612099644128,0.763807285546416,0.823943661971831,0.02158273381294964
sitting,0.0,0.34923076923076923,0.32668566001899335,0.9227642276422764,0.858739837398374,0.8344017094017094,0.40327868852459015,0.2558139534883721,0.0
standing,0.2893772893772894,0.4396467124631992,0.6556603773584906,0.9592760180995475,0.7157400156617071,0.7223557692307693,0.0,0.30198019801980197,0.0
walking,0.013085399449035813,0.6882516188714154,0.22359657469077068,0.508557457212714,0.3365617433414044,0.5393848462115529,0.03428571428571429,0.5194805194805194,0.0
stair up,0.43716814159292033,0.4634941329856584,0.125,0.12682926829268293,0.00272975432211101,0.333694474539545,0.12998522895125553,0.33512931034482757,0.27157894736842103
stair down,0.4037900874635568,0.5523978685612788,0.3545317976965448,0.43195666892349355,0.11819887429643527,0.343609022556391,0.15144230769230768,0.4863915715539947,0.23196881091617932
