,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
null,0.6158225363172359,0.7473961949729204,0.7782832278481012,0.6566000283567276,0.6999042538640405,0.749500090892565,0.7375115207373272,0.7533590733590734,0.7596281540504648,0.6820049301561216,0.5767811524269089,0.6683399067766225,0.746119733924612,0.7332718043377942,0.6746811624503449,0.7566741389851233,0.7225109956017592,0.7628504672897196,0.7322434150772026,0.8043510433624389,0.7904123036649214,0.7350009062896502
cutting,0.1407528641571195,0.43023255813953487,0.6062322946175638,0.7417061611374408,0.592375366568915,0.6271676300578035,0.664804469273743,0.22765598650927488,0.42105263157894735,0.3115942028985507,0.3373702422145329,0.7006802721088435,0.3783783783783784,0.13901345291479822,0.4426229508196721,0.2462686567164179,0.4628712871287129,0.6506329113924051,0.46875,0.5456730769230769,0.37404580152671757,0.24423963133640553
inverting,0.0,0.2090032154340836,0.11538461538461539,0.10457516339869281,0.0,0.7384615384615385,0.22926829268292684,0.8439024390243902,0.13297872340425532,0.1346153846153846,0.0,0.27044025157232704,0.1111111111111111,0.5819935691318328,0.5284974093264249,0.6258064516129033,0.33540372670807456,0.1111111111111111,0.29545454545454547,0.5064102564102564,0.42748091603053434,0.3508771929824561
peeling,0.3055555555555556,0.0,0.22672064777327935,0.0,0.16393442622950818,0.09411764705882353,0.38235294117647056,0.14516129032258066,0.0,0.43010752688172044,0.08759124087591241,0.2350597609561753,0.16494845360824742,0.1056338028169014,0.1912568306010929,0.04680851063829787,0.10789473684210527,0.31333333333333335,0.3382352941176471,0.40441176470588236,0.19672131147540983,0.0
pestling,0.3086232980332829,0.5827814569536424,0.5394265232974911,0.40401785714285715,0.44607190412782954,0.1675603217158177,0.3104294478527607,0.351123595505618,0.44206773618538325,0.44959128065395093,0.3620823620823621,0.21470396877033182,0.24525185796862098,0.5269086357947435,0.3154471544715447,0.44954128440366975,0.49282920469361147,0.4638052530429212,0.5396341463414634,0.582089552238806,0.056043956043956046,0.29041095890410956
pipetting,0.18507157464212678,0.06422018348623854,0.1643059490084986,0.19634305616020897,0.33276740237691,0.19864176570458403,0.27976878612716766,0.358974358974359,0.03943217665615142,0.2676962676962677,0.12631578947368421,0.3800995024875622,0.3722334004024145,0.19964349376114082,0.34953703703703703,0.4683734939759036,0.0975609756097561,0.19534883720930232,0.05415162454873646,0.0750256937307297,0.37264150943396224,0.19575113808801214
pouring,0.0,0.03676470588235294,0.07746478873239436,0.10467289719626169,0.17270194986072424,0.06918238993710692,0.11904761904761904,0.15447154471544716,0.10954063604240283,0.11818181818181818,0.056572379367720464,0.14285714285714285,0.12631578947368421,0.12258064516129032,0.13333333333333333,0.2755102040816326,0.18396226415094338,0.034482758620689655,0.0,0.015873015873015872,0.18055555555555555,0.031914893617021274
stirring,0.015544041450777202,0.2198581560283688,0.05850091407678245,0.5388967468175389,0.15233785822021115,0.35119047619047616,0.34328358208955223,0.13559322033898305,0.21559633027522937,0.5445736434108527,0.3231240428790199,0.10278372591006424,0.12190812720848057,0.14671814671814673,0.35074626865671643,0.2822966507177033,0.22816901408450704,0.20321931589537223,0.32805755395683456,0.2111111111111111,0.4032395566922421,0.4647887323943662
transfer,0.0975609756097561,0.0136986301369863,0.0,0.1188118811881188,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.06321839080459771,0.13352272727272727,0.010471204188481676,0.0,0.0,0.0,0.4339622641509434,0.0,0.07988165680473373,0.0,0.0,0.0
