,0,1,2,3
null,0.7694102672889266,0.8220986281053022,0.5903922023671385,0.802800169707255
open_door_1,0.7528089887640449,0.6245353159851301,0.58,0.6641509433962264
open_door_2,0.6440677966101694,0.6379928315412187,0.2672413793103448,0.7242798353909465
close_door_1,0.7057057057057057,0.4490566037735849,0.8671586715867159,0.6239669421487604
close_door_2,0.8632218844984803,0.6156351791530945,0.20748299319727892,0.6666666666666666
open_fridge,0.6486486486486487,0.5990338164251208,0.2899543378995434,0.5481927710843374
close_fridge,0.4983277591973244,0.40555555555555556,0.6338028169014085,0.22590361445783133
open_dishwasher,0.6714285714285714,0.3181818181818182,0.5066079295154186,0.11282051282051282
close_dishwasher,0.822429906542056,0.24723247232472326,0.7533632286995515,0.3595505617977528
open_drawer_1,0.6234567901234568,0.2604166666666667,0.29878048780487804,0.1032258064516129
close_drawer_1,0.5146198830409356,0.46564885496183206,0.6075949367088608,0.11607142857142858
open_drawer_2,0.19473684210526315,0.125,0.2261904761904762,0.029850746268656716
close_drawer_2,0.5138121546961326,0.09009009009009009,0.09523809523809523,0.3252032520325203
open_drawer_3,0.44534412955465585,0.1270718232044199,0.035,0.6103896103896104
close_drawer_3,0.6036036036036037,0.19806763285024154,0.12315270935960591,0.7894736842105263
clean_table,0.689922480620155,0.5323590814196242,0.9083969465648855,0.7017045454545454
drink_from_cup,0.28665207877461707,0.6109022556390977,0.28634361233480177,0.7502799552071668
toggle_switch,0.7201834862385321,0.40145985401459855,0.14,0.46153846153846156
