,0,1,2,3
null,0.8635360429187464,0.8689581809720098,0.8269573674825741,0.871550255536627
open_door_1,0.19656019656019655,0.06382978723404255,0.41203703703703703,0.1895424836601307
open_door_2,0.5727002967359052,0.04013377926421405,0.5942571785268415,0.04428044280442804
close_door_1,0.1550802139037433,0.27607361963190186,0.4213075060532688,0.28089887640449435
close_door_2,0.5667915106117353,0.5666666666666667,0.40083507306889354,0.5955882352941176
open_fridge,0.152431011826544,0.13001383125864452,0.15118110236220475,0.0057306590257879654
close_fridge,0.20274551214361142,0.18913480885311876,0.23085106382978723,0.005988023952095808
open_dishwasher,0.11345218800648298,0.12043010752688173,0.05025125628140703,0.032
close_dishwasher,0.2329192546583851,0.11560693641618498,0.1986754966887417,0.08
open_drawer_1,0.0,0.0,0.015209125475285173,0.0
close_drawer_1,0.011627906976744186,0.012269938650306749,0.0,0.0
open_drawer_2,0.04854368932038835,0.0,0.0,0.014814814814814815
close_drawer_2,0.18770226537216828,0.044444444444444446,0.03773584905660377,0.0
open_drawer_3,0.17083333333333334,0.1743119266055046,0.11888111888111888,0.2619808306709265
close_drawer_3,0.24539877300613497,0.24884792626728108,0.304,0.039800995024875614
clean_table,0.7221238938053097,0.5038639876352395,0.8445297504798464,0.6872852233676976
drink_from_cup,0.3843498273878021,0.6152941176470589,0.3120274914089347,0.5250783699059561
toggle_switch,0.16181229773462785,0.317948717948718,0.021818181818181816,0.043010752688172046
