,0,1,2,3,4,5,6,7,8
null,0.2,0.5973557692307693,0.2721311475409836,0.365097588978186,0.2580213903743315,0.6361185983827493,0.6956521739130435,0.3134715025906736,0.2527646129541864
biking,0.4810292193632795,0.6845273931366647,0.8602654176424668,0.950530035335689,0.6568281938325992,0.5429029671210907,0.7851140456182473,0.8906666666666667,0.6666666666666666
sitting,0.0,0.7180277349768875,0.8820754716981132,0.677619893428064,0.8361508452535761,0.9412429378531073,0.2554890219560878,0.7741935483870968,0.0
standing,0.6710239651416122,0.8952879581151832,0.0,0.9715585893060296,0.0,0.022556390977443608,0.0,0.0,0.0
walking,0.261139896373057,0.3519061583577713,0.11764705882352941,0.7849624060150376,0.15972653822249844,0.3987341772151899,0.4452054794520548,0.26403326403326405,0.0
stair up,0.3431952662721893,0.253,0.4339080459770115,0.5428571428571428,0.034571062740076826,0.4636363636363636,0.05217391304347826,0.23580786026200873,0.06349206349206349
stair down,0.35082872928176795,0.3908127208480565,0.20129694677114293,0.5189289012003694,0.08795669824086604,0.13818722139673106,0.3349875930521092,0.35714285714285715,0.20105820105820105
