,0,1,2,3,4,5,6,7,8
null,0.21389195148842335,0.4612137203166227,0.3646694214876033,0.5143853530950305,0.2659380692167577,0.4839857651245551,0.5117085862966175,0.23339317773788154,0.5493975903614458
biking,0.590146750524109,0.796891557753444,0.9415439535921463,0.681392235609103,0.8179710144927537,0.6709151159826664,0.09656652360515022,0.8675324675324674,0.18652849740932642
sitting,0.0,0.7505694760820045,0.7219578518014956,0.8397895743663318,0.8533487297921479,0.9149888143176734,0.5509761388286334,0.6,0.03773584905660377
standing,0.0,0.008483563096500531,0.05187319884726225,0.23040604343720492,0.01556420233463035,0.06867845993756504,0.0,0.05084745762711864,0.0
walking,0.033937975424224685,0.41318681318681316,0.0896969696969697,0.35180412371134023,0.2907295666483818,0.20145985401459857,0.45265588914549654,0.35366536094012313,0.0
stair up,0.5595489781536293,0.43497267759562835,0.35188163396590544,0.3744158878504673,0.005594405594405594,0.19680851063829788,0.012232415902140673,0.3653944020356234,0.010582010582010581
stair down,0.4742514970059881,0.29381443298969073,0.30817610062893086,0.17255546425636814,0.05326460481099657,0.21842355175688508,0.2103681442524418,0.22481442205726404,0.2345415778251599
