,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
null,0.7892976588628763,0.8299595141700404,0.7618213660245184,0.8123456790123457,0.6749311294765841,0.4654418197725284,0.8392070484581498,0.7133333333333334,0.8029925187032418,0.577259475218659,0.7874015748031497,0.65625,0.7881548974943052,0.7703703703703704,0.7905236907730673,0.8968926553672316,0.8031914893617021,0.8053375196232339,0.7585421412300684,0.8574561403508771,0.7215777262180975,0.7333333333333333,0.7956989247311828,0.8293172690763052,0.7091633466135459,0.7467889908256881,0.7817258883248731,0.672316384180791,0.7884615384615384,0.549520766773163
walking,0.9385964912280702,0.21256038647342995,0.7135922330097088,0.9571428571428572,0.9595959595959596,0.9504950495049505,0.9054726368159204,0.9827586206896551,0.9453551912568307,0.9731182795698925,0.8428571428571429,0.9779005524861878,0.965,0.0,0.7577319587628866,0.8839779005524862,0.6774193548387096,0.5025125628140703,0.6577540106951871,0.9,0.0,0.7134146341463414,0.9903381642512077,0.9607843137254902,0.9291338582677166,0.9611650485436893,0.965,0.8826530612244898,0.973404255319149,0.9778761061946902
walking_upstairs,0.99,0.973404255319149,0.9691629955947136,0.9296482412060302,0.9293478260869565,0.9895287958115183,0.9841269841269841,0.9818181818181818,0.9243243243243243,0.5084745762711864,0.9800995024875622,0.9698492462311558,0.9807692307692307,0.9547738693467337,0.9726775956284153,0.8860103626943006,0.9838709677419355,0.92018779342723,0.9426751592356688,0.9846153846153847,0.9832402234636871,0.9878048780487805,0.9786096256684492,0.9770642201834863,0.890295358649789,1.0,0.9844559585492227,0.9844559585492227,0.9578947368421052,0.9234042553191489
walking_downstairs,0.8860103626943006,0.8770949720670391,0.9725274725274725,0.96045197740113,0.9770114942528736,0.9887005649717514,0.9779005524861878,0.9139072847682119,0.9651162790697675,0.9419354838709677,0.9491525423728814,0.9886363636363636,0.9337016574585635,0.3850574712643678,0.9819277108433735,0.9715909090909091,0.9657142857142857,0.6731707317073171,0.9868421052631579,0.9887005649717514,0.84,0.9671052631578947,0.7236180904522613,0.9809523809523809,0.8,0.9790575916230366,0.9771428571428571,0.9772727272727273,0.9833333333333333,0.9692982456140351
sitting,0.9523809523809523,0.4759036144578313,0.9510869565217391,0.9367816091954023,0.8930817610062893,0.9187817258883249,0.888235294117647,0.9393939393939394,0.2978723404255319,0.4329896907216495,0.9685863874345549,0.6804123711340206,0.9428571428571428,0.5412371134020618,0.9392523364485982,0.5708154506437768,0.6946902654867256,0.9814814814814815,0.758893280632411,0.7307692307692307,0.6804123711340206,0.7844036697247706,0.7647058823529411,0.9795081967213115,0.7400881057268722,0.9120879120879121,0.6772908366533864,0.3229571984435798,0.9425837320574163,0.9778761061946902
standing,0.9484536082474226,0.7487437185929648,0.9592760180995475,0.6836734693877551,0.806930693069307,0.9509803921568627,0.9319371727748691,0.935,0.25142857142857145,0.7928994082840237,0.9337016574585635,0.9629629629629629,0.9295774647887324,0.794392523364486,0.8484848484848485,0.5977859778597786,0.9330985915492958,0.9448529411764706,0.9768339768339769,0.8571428571428571,0.7445482866043613,0.9383259911894273,0.8442622950819673,0.9098360655737705,0.8423076923076923,0.9320754716981132,0.9397163120567376,0.8897058823529411,0.8382978723404255,0.6816143497757847
laying,0.9651162790697675,0.96045197740113,0.9728506787330317,0.9627659574468085,0.9835164835164835,0.9095477386934674,0.5423728813559322,0.8860103626943006,0.4869109947643979,0.8899521531100478,0.9507389162561576,0.9345794392523364,0.9672897196261683,0.7283236994219653,0.8125,0.9221311475409836,0.94140625,0.9714285714285714,0.8166089965397924,0.9828326180257511,0.9411764705882353,0.952,0.9838709677419355,0.9880478087649402,0.9045801526717557,0.9732824427480916,0.9694656488549618,0.985239852398524,0.9833333333333333,0.9686274509803922
stand_to_sit,0.8421052631578947,0.6875,0.8823529411764706,0.7,0.55,0.8888888888888888,1.0,0.3333333333333333,0.3076923076923077,0.38461538461538464,0.7333333333333333,0.8421052631578947,1.0,0.8333333333333334,0.9230769230769231,0.3888888888888889,0.9333333333333333,0.6923076923076923,0.5882352941176471,0.5714285714285714,0.4375,0.7058823529411765,0.16666666666666666,0.7894736842105263,0.7222222222222222,0.5384615384615384,0.5,0.7142857142857143,0.9375,0.7647058823529411
sit_to_stand,0.75,0.38461538461538464,0.8,0.8571428571428571,0.6923076923076923,0.6923076923076923,0.7777777777777778,0.4,0.3,0.625,0.9230769230769231,0.75,0.9333333333333333,0.07692307692307693,0.7692307692307693,0.4,0.8125,0.8888888888888888,0.46153846153846156,0.7333333333333333,0.5714285714285714,0.875,0.7857142857142857,0.8333333333333334,0.47058823529411764,0.8,1.0,0.8461538461538461,0.6666666666666666,0.7857142857142857
sit_to_lie,0.9047619047619048,0.5263157894736842,0.8235294117647058,0.9565217391304348,0.875,0.875,0.8260869565217391,0.9333333333333333,0.21052631578947367,0.5294117647058824,0.7894736842105263,0.8888888888888888,0.8636363636363636,0.0,0.95,0.65,0.7037037037037037,0.8636363636363636,0.9473684210526315,0.13793103448275862,0.7,0.8,0.8571428571428571,0.9090909090909091,0.6842105263157895,0.7,0.7391304347826086,0.0,0.6666666666666666,0.75
