,0,1,2,3
null,0.8602567531425515,0.7686404833836858,0.9104114038253338,0.8171838407494145
open_door_1,0.6593406593406593,0.0,0.8783783783783784,0.7592592592592593
open_door_2,0.6696428571428571,0.3,0.638095238095238,0.5571428571428572
close_door_1,0.6130268199233716,0.5,0.44598337950138506,0.7380952380952381
close_door_2,0.4688581314878893,0.6274509803921569,0.5770925110132159,0.6666666666666666
open_fridge,0.13468869123252858,0.11055276381909548,0.12638580931263857,0.16966580976863754
close_fridge,0.3346774193548387,0.12368024132730016,0.13176638176638178,0.20958083832335328
open_dishwasher,0.08256880733944955,0.15254237288135594,0.2366412213740458,0.3333333333333333
close_dishwasher,0.3225806451612903,0.056338028169014086,0.115625,1.0
open_drawer_1,0.0,0.0,0.0,0.0
close_drawer_1,0.0,0.0,0.375,0.0
open_drawer_2,0.36,0.0,0.0,0.25
close_drawer_2,0.0,0.0,0.0,1.0
open_drawer_3,0.07692307692307693,0.0,0.3333333333333333,0.32432432432432434
close_drawer_3,0.20833333333333334,0.4875,0.3137254901960784,0.21739130434782608
clean_table,0.8624338624338624,0.9565217391304348,0.7118155619596542,0.8720538720538721
drink_from_cup,0.9514925373134329,0.6842105263157895,0.8843648208469055,0.8282988871224165
toggle_switch,0.2914485165794066,1.0,0.1693548387096774,0.42857142857142855
