,0,1,2,3,4,5,6,7,8
null,0.17543859649122806,0.40055504162812205,0.4769372693726937,0.5127768313458262,0.2855487981465392,0.3833805476864967,0.4969029593943565,0.25793650793650796,0.3266055045871559
biking,0.9022801302931597,0.9463171036204744,0.9332096474953618,0.9057681324957167,0.9057290087905425,0.8794002607561929,0.8545572074983839,0.8661616161616161,0.2727272727272727
sitting,0.0,0.7555346208195949,0.9201166180758017,0.9553523399677245,0.9071706503613118,0.9085614443797321,0.5783132530120482,0.5454545454545454,0.0
standing,0.4960468521229869,0.5592233009708738,0.8320916905444126,0.9805045871559633,0.8443843031123138,0.8413028413028413,0.0,0.0,0.0
walking,0.37051406401551895,0.6223404255319149,0.5687583444592791,0.7919101123595506,0.41781737193763924,0.6467391304347826,0.03669724770642202,0.7786458333333334,0.08695652173913043
stair up,0.5047410649161197,0.7151572031909901,0.3799318071115441,0.5237084217975938,0.0031923383878691143,0.3345764517847629,0.448780487804878,0.010554089709762533,0.010498687664041993
stair down,0.7239709443099274,0.7072879330943846,0.6089574708317652,0.6325632563256326,0.22948328267477205,0.3951726073533539,0.3770491803278688,0.6023996690111709,0.48225214198286415
